daily_screen_time_min,num_app_switches,sleep_hours,notification_count,social_media_time_min,focus_score,mood_score,anxiety_level,digital_wellbeing_score
233.5,66,5.0,129,124.1,7.2,6.7,5.9,54.4
454.3,53,7.3,49,110.3,6.4,6.3,4.7,63.0
331.6,56,6.9,138,81.7,4.6,7.1,5.2,53.7
337.3,38,6.5,89,80.7,5.6,6.5,5.7,50.5
294.4,49,3.5,55,131.1,7.2,6.1,5.9,48.9
327.7,59,5.5,70,159.8,6.1,6.3,5.3,47.5
414.2,59,8.3,66,114.8,6.7,9.2,4.5,69.4
364.9,52,6.2,52,122.8,8.2,8.7,3.8,73.0
406.3,59,7.4,93,142.8,7.7,7.4,3.8,65.6
409.0,55,5.3,53,81.1,6.6,6.6,4.2,57.0
485.7,62,8.7,25,149.6,7.1,7.7,4.0,69.0
352.6,53,6.8,79,152.8,6.6,7.9,5.3,60.7
261.9,46,7.3,36,224.1,7.4,7.4,3.7,67.8
465.4,53,9.8,67,105.0,9.0,8.5,3.3,87.8
353.5,21,8.8,63,101.7,8.2,9.2,1.0,91.8
469.2,54,6.6,64,150.8,6.9,6.5,4.8,61.4
410.7,20,6.3,150,152.8,6.7,6.4,5.5,54.1
369.5,33,6.6,92,98.6,5.9,5.8,4.3,53.8
407.9,55,7.6,97,103.9,7.5,8.0,5.6,65.1
536.1,55,6.9,37,141.6,6.2,8.1,4.5,57.7
546.2,38,6.5,70,86.9,4.3,6.7,5.2,47.5
385.6,43,8.8,96,103.6,5.7,8.8,3.5,72.6
392.8,64,6.9,59,123.6,6.1,6.5,2.9,68.7
466.1,45,9.8,117,159.8,7.4,8.3,2.8,79.6
312.3,72,7.1,54,95.8,7.6,7.1,4.3,67.6
406.6,50,9.1,81,46.3,8.1,8.4,1.9,85.7
377.9,54,7.4,72,43.3,9.1,8.7,2.0,87.0
405.1,66,8.2,95,69.6,6.3,7.8,4.7,66.1
313.3,51,6.1,71,67.5,7.2,6.3,5.2,58.0
252.8,40,6.0,82,113.8,7.3,6.3,4.8,62.3
214.2,49,7.6,83,72.4,7.4,7.2,2.8,73.7
290.6,50,8.2,68,91.9,7.9,8.7,2.5,85.2
343.3,36,7.0,105,89.0,5.7,8.6,3.5,67.3
356.5,47,5.5,97,102.4,7.5,7.7,3.8,65.0
535.0,43,5.4,87,172.9,4.8,4.2,6.0,34.2
468.5,59,5.3,77,146.5,7.4,7.3,4.7,63.9
303.0,50,4.9,114,120.6,6.1,6.8,4.6,51.4
407.8,47,7.1,83,101.6,7.7,6.4,2.9,71.2
347.4,49,8.4,81,102.7,7.5,7.9,3.3,74.6
357.3,52,7.0,93,133.1,6.7,7.9,4.4,68.8
394.8,56,4.3,141,143.4,4.8,5.6,8.3,30.9
429.5,40,6.8,50,83.7,7.1,6.4,3.6,63.1
352.9,40,6.8,113,121.5,6.9,7.5,4.7,64.2
465.1,61,9.5,33,38.7,7.6,7.2,2.6,81.0
288.6,46,5.3,97,128.5,6.3,6.3,5.0,51.5
380.5,36,6.5,137,150.5,5.6,7.2,5.9,52.9
587.8,54,9.0,105,108.8,8.5,7.9,4.1,77.7
397.8,55,7.5,95,192.7,6.3,6.7,5.0,59.5
494.7,35,7.7,73,84.8,8.1,8.3,3.3,76.4
387.3,52,7.1,91,128.7,6.6,7.8,4.0,66.7
426.5,57,7.4,82,118.6,7.0,8.2,2.9,73.4
375.5,54,7.9,66,116.0,6.3,8.2,3.0,71.8
366.4,56,6.0,81,115.4,6.2,7.5,4.2,58.2
317.6,36,8.1,96,124.3,7.5,8.4,2.4,83.6
414.4,53,5.4,67,153.9,7.3,6.6,5.5,52.4
311.9,47,7.4,66,175.1,7.2,7.6,4.8,67.1
433.2,45,7.2,49,119.9,8.1,7.4,3.0,73.5
466.8,59,6.3,102,152.6,6.4,5.6,5.8,53.2
409.3,65,7.0,106,91.9,8.0,6.7,3.3,68.4
357.1,68,6.3,97,150.6,6.3,6.5,4.8,54.3
416.3,63,5.7,119,89.5,8.0,6.9,4.2,62.0
355.3,49,6.6,93,163.6,6.1,7.8,5.3,58.1
454.8,54,5.7,102,208.4,4.8,5.7,6.0,37.4
233.5,58,7.4,99,115.1,6.5,8.3,4.4,66.4
353.2,51,5.6,87,32.3,8.8,8.1,3.5,68.9
220.7,51,7.9,74,98.1,8.6,8.3,2.0,86.7
260.4,58,5.6,156,169.3,5.7,6.6,4.7,51.4
